month,Incomplete RTT pathways_Median wait (weeks),Incomplete RTT pathways_92nd percentile (weeks),Incomplete RTT pathways_No. within 18 weeks,Incomplete RTT pathways_% within 18 weeks,Incomplete RTT pathways_No. > 18 weeks,Incomplete RTT pathways_No. > 52 weeks,Incomplete RTT pathways_% > 52 weeks,Incomplete RTT pathways_No. > 78 weeks,Incomplete RTT pathways_No. > 104 weeks,Incomplete RTT pathways_Total waiting (mil),Admitted (unadjusted) RTT pathways_Median wait (weeks),Admitted (unadjusted) RTT pathways_95th percentile (weeks),Admitted (unadjusted) RTT pathways_No. within 18 weeks,Admitted (unadjusted) RTT pathways_No. > 52 weeks,Admitted (unadjusted) RTT pathways_No. of pathways (all),NonAdmitted RTT pathways_Median wait (weeks),NonAdmitted RTT pathways_95th percentile (weeks),NonAdmitted RTT pathways_No. within 18 weeks,NonAdmitted RTT pathways_No. > 52 weeks,NonAdmitted RTT pathways_No. of pathways (all)
18-Sep,7.6,22.2,3584289,0.87,550412,3157,0,,,4.13,10.4,36.3,207550,1412,284098,6.5,25.7,880762,1178,1008884
18-Oct,7,22,3646101,0.87,540241,2815,0,,,4.19,10.4,36.4,238070,1544,327110,6.1,25.4,1033659,1525,1182308
18-Nov,6.9,22,3626281,0.87,527765,2431,0,,,4.15,10,36.3,234334,1399,321946,6,25.7,1015164,1312,1162783
18-Dec,7.6,22.7,3595561,0.87,556028,2237,0,,,4.15,9.2,35,191452,946,255761,5.6,25.3,823320,861,933564
19-Jan,7.8,22.5,3619513,0.87,553149,2169,0,,,4.17,10.7,36.9,229259,1293,317121,6.7,26.5,1031973,1632,1183632
19-Feb,6.7,22.1,3604256,0.87,539854,1962,0,,,4.14,10.8,36.8,204859,1071,284212,5.8,26.1,903945,1058,1033312
19-Mar,6.9,22.3,3670437,0.87,562977,1154,0,,,4.23,10.3,37.4,218308,1385,305356,5.6,25.6,959981,1325,1095701
19-Apr,7.2,22.6,3718168,0.87,579403,1047,0,,,4.3,10,37.2,200499,727,280209,5.8,25.7,916599,911,1046015
19-May,7.7,23,3809456,0.87,576237,1032,0,,,4.39,10.3,37.2,215462,736,295881,6.3,26,971840,922,1102958
19-Jun,7.5,22.4,3794158,0.86,601088,1089,0,,,4.4,10.6,37.3,208528,763,289203,6.2,26.5,929326,867,1064501
19-Jul,7.3,22.7,3752114,0.86,620454,1032,0,,,4.37,10.2,37.4,226152,902,314280,6.1,25.8,1022871,932,1179146
19-Aug,8,23.7,3745921,0.85,662043,1236,0,,,4.41,10,37.6,197404,738,275267,6.1,26.2,867487,784,1006145
19-Sep,8,23.9,3744771,0.85,672112,1305,0,,,4.42,10.7,38.4,204011,910,288230,6.8,27.5,919697,925,1080810
